,Close,High,Low,Open,Volume,MFI_10,ATR_10,STOCHk_10_3_3,RET,MOM,VOL,ATR_10_res,MFI_10_res,STOCHk_10_3_3_res,Investor_Sentiment_PC1
2025-04-07,54243.28515625,55717.287470278534,51983.148274739586,52376.21555848053,114987340,65.85673376144177,3539.83474058349,58.81325931616618,-0.016042728078643043,0.06417582010985623,0.00301125336318219,-4063.2901336946543,14.757017499471402,10.094916198322181,2.1380923832647687
2025-04-14,54341.5546875,56110.35755255425,53555.42008080922,55324.22294586347,53003689,64.21167494590634,3441.345013699644,41.814448770128145,0.0018116441688023066,0.0723417705992031,0.002924048880720158,-4112.080588365485,10.932783788491228,-10.168814232228854,0.8602261617233604
2025-04-21,54734.6171875,55422.48490798923,53751.949015372535,54243.28310143627,49386688,55.901922435891116,3264.264101591349,37.43788500809226,0.007233184664302783,0.04934413635337198,0.0028886192532881854,-4094.5375600349967,4.233088569426769,-12.669662421094664,0.19284497194029895
2025-04-28,53358.8828125,55520.75283436924,53260.61599332412,54832.88510013812,55105429,46.9330443534742,3163.851375536726,30.81433614412104,-0.025134630434835326,0.013746839775785391,0.0027962702190878737,-3539.0826134517724,0.18400200028374059,-11.787604923277488,-0.15636113370428642
2025-05-05,53850.21484375,54538.082551608124,53358.880766708484,53358.880766708484,41271845,49.73565695312991,2965.386416473018,29.049506259976457,0.009208064437490338,-0.050673502904578505,0.0026359605199364005,-3165.0182081951475,6.069324664984187,-10.70499192219317,0.33308895983155284
2025-05-12,55815.55078125,57584.35344685299,54046.74811564701,54243.28174515845,68250680,57.58932382810592,3042.2616351360157,32.932081494392904,0.03649634348168451,0.02210844776382137,0.0023494027551881794,-3006.9934247089386,4.580448159026169,-19.139079323938525,-0.21026261776683805
2025-05-19,53260.6171875,55717.287721978784,53162.35036612085,55422.48725784133,53178256,49.45080488832322,3003.355513135329,30.4458912540896,-0.04577458357014497,0.07328362961121626,0.002561730575193892,-3356.569073796011,-2.2383507134076552,-17.258245104067395,-0.6363013088164995
2025-05-26,55225.953125,56208.621330071175,52769.282612322066,52965.8162533363,81013633,42.33935731466427,3046.953833596707,33.82806089793477,0.03690035980208761,0.00888709443742941,0.002651037037378442,-3666.8470981260143,-8.401283771530537,-15.853033120149526,-1.0361289844774602
2025-06-02,58075.69140625,58861.82597689298,55225.95358766921,55324.22040899958,55786525,39.48948941589357,3105.845735426334,47.080085863777775,0.05160143229759795,-0.08218329089317622,0.0012902133932819993,215.42227053932538,-8.89173444469354,1.8287260520142254,-0.6602195340417443
2025-06-09,57289.55859375,59353.16190501716,56699.95764767368,59353.16190501716,86987247,53.28176759139128,3060.581587618049,66.11853089005358,-0.013536348745309956,-0.00627067156484562,0.001254369031183984,208.26089919895367,2.0017649236605806,19.671103303748914,1.0833038271984452
2025-06-16,58468.7578125,59549.692830882355,55913.82049632353,56994.75551470588,103407109,70.18309007508275,3118.1106623121264,81.54313532073378,0.020583143729765885,0.04276273802303221,0.0008723255761450834,685.2038556883749,10.931259532773176,24.390820719302525,1.9836014153320025
2025-06-23,59746.2265625,60532.36112253289,56601.68832236842,57387.82288240131,100965975,72.5073253651847,3199.3668760973615,81.97713147088406,0.02184874106777901,0.07938860983144114,0.00083763177160331,617.4825232978164,9.736902353749223,20.40920590884143,1.7029236653377136
2025-06-30,62584.43359375,63968.6074804996,59123.99887687599,60508.1727636256,101598834,81.12069465045184,3363.891048849987,87.19064903927926,0.047504372987990706,0.09942570673041784,0.0009598842286333063,191.7551110907807,15.368947954608402,20.754815801203435,2.225451635781013
2025-07-07,61892.34765625,62584.4346108726,59519.47809754393,62188.95635108826,88820970,76.69437258207475,3333.9975952978557,86.3249417503556,-0.011058435744461415,0.13969689505410576,0.0010127048246377618,159.36865086973467,11.176588343573997,22.25636695045978,1.9597445870354535
2025-07-14,66341.484375,67033.57139530551,61101.39693554396,61595.744807190764,118448922,83.589003206028,3593.815281744225,88.08317398436513,0.07188508575341968,0.15377308974447967,0.0011537876975287304,-549.0869048312961,12.093648787660797,13.250519563295427,1.6813299078645558
2025-07-21,65155.046875,68022.2644157815,64166.351171282244,66638.09043057663,74980315,83.9445259722862,3620.025078019728,85.93707046149753,-0.01788379490114478,0.216450111060409,0.0012817739577030349,-648.4741082596724,12.893306032758176,14.771213854994954,1.8304413978583942
2025-07-28,68121.125,73163.47242380261,66440.34252539913,67429.03809869375,148891490,90.80829648883406,4058.8651250980165,83.87531062897371,0.045523382566057036,0.16206997267757972,0.0013224824010821031,-381.68492598734974,20.834878287023074,11.674307696121645,2.298783516446699
2025-08-04,70988.3515625,71581.56898502786,67527.91659775419,68714.35144280989,78964731,90.97516920528885,4058.3438513155825,81.45057373933712,0.042090123474913144,0.2533679388137817,0.0008882865873927051,146.07688390063277,11.379812281745359,-2.0719833614168124,0.8108769552968111
2025-08-11,70790.609375,71581.5659043296,69999.6528456704,71186.08763966481,51403773,91.04010058306204,3810.700772049945,83.13115561234905,-0.002785558238042829,0.25855770248660725,0.0009517722909453951,-1.5521239785139187,14.02949191119599,4.4105583863783835,1.3539768042112188
2025-08-18,70592.8671875,71087.21499693627,68615.4759497549,70296.25850183824,69695454,82.96518748056974,3676.804599563088,86.405179323467,-0.002793339247194493,0.20417071195096648,0.0009123412705388878,297.9673438460163,10.730703129556062,13.743025331389731,1.4996728956470837
2025-08-25,68912.09375,70988.35482424677,68813.22417503587,70889.48524928263,58841393,75.44679063020735,3526.637204527869,81.89060786260671,-0.0238093946947322,0.21491372144908194,0.000987361111038564,31.60440707984162,3.8357719591368777,10.673100356424229,0.8207107525036924
2025-09-01,68714.34375,69604.16978417267,66736.95256294965,67626.7785971223,56700518,67.70921681696066,3460.6952061973843,75.91256334495118,-0.0028695979071162725,0.17052118302458386,0.0010223071688718855,19.210778555857814,-1.0767392107053269,7.423370228450992,0.2662521877395687
2025-09-08,74547.65625,74745.39539124668,68813.22115384616,69010.96029509284,95075124,68.0608246778751,3717.730849702314,80.44711635670622,0.08489221000528002,0.14580284404968857,0.0014669377524504806,-1231.6194450242856,-2.39218001870978,5.9845778466502395,0.22940862177423113
2025-09-15,79392.2578125,79589.99693532067,75041.9971104452,76327.30140877957,94602422,78.29901599986788,3850.19183326415,88.64721362399463,0.06498663816141104,0.1831906810669779,0.001587490486432076,-1499.4390814713079,6.155389547964845,12.614330464349848,1.2731463289297063
2025-09-22,82358.34375,85225.56099939976,80183.21342286916,80578.69166416567,113177260,78.89358850268502,4048.5029686277117,94.67225070811806,0.037359888976894684,0.25923575497285034,0.0014750468601156432,-1316.23880007674,1.2006312514763238,12.848527970269132,0.8605749361028692
