Date,Close,High,Low,Open,Volume,MFI_10,ATR_10,STOCHk_10_3_3,RET,MOM,VOL,ATR_10_res,MFI_10_res,STOCHk_10_3_3_res,Investor_Sentiment_PC1
2025-06-09,57289.5546875,59353.15785806175,56699.95378162521,59353.15785806175,86987247,53.28176694659274,3060.866559137734,66.11851856119661,-0.013536349655783209,-0.006270803778176015,0.0012543692153911385,195.30480773001455,2.697718933750167,19.671110709283177,1.1284000816281348
2025-06-16,58468.76171875,59549.696809348745,55913.82423188026,56994.759322478996,103407109,70.18309004103003,3118.367160970809,81.54313165870424,0.02058328150187716,0.04276260074305471,0.0008723264268958367,673.6530802182715,11.620299004047808,24.390821108227364,2.0039287144537568
2025-06-23,59746.22265625,60532.35716488487,56601.68462171053,57387.81913034539,100965975,72.50732507305369,3199.5976991911625,81.97712824508687,0.021848605989723602,0.07938868004503907,0.0008376319283552374,606.5756308003151,10.399334325231585,20.409212687199968,1.7252992154285804
2025-06-30,62584.43359375,63968.6074804996,59123.99887687599,60508.1727636256,101598834,81.12069450283457,3364.0987896344077,87.1906503021322,0.04750444147456245,0.09942564186596037,0.0009598849069970999,182.02615939630232,15.997619638842423,20.754819104350773,2.235764924866503
2025-07-07,61892.34375,62584.4306609425,59519.474341054316,62188.952426118216,88820970,76.69437296688378,3334.1848359405353,86.32492862374704,-0.011058498160141816,0.13969689867622004,0.0010127057882333501,148.79274880698222,11.77767674447692,22.256368082648947,1.9768116701114073
2025-07-14,66341.46875,67033.55560730254,61101.382544709384,61595.73029992548,118448922,83.58900335804279,3593.983658605797,88.08316094877512,0.0718849009494813,0.15377303095091355,0.0011537868661370097,-556.980483481228,12.653335695016565,13.250531513651765,1.7004942731148327
2025-07-21,65155.046875,68022.2644157815,64166.351171282244,66638.09043057663,74980315,83.9445261409669,3620.176617195142,85.93705742590753,-0.01788356358932741,0.21644979425578703,0.0012817714733548626,-657.5812409181017,13.40506264932742,14.77120796015798,1.8444788837583692
2025-07-28,68121.1328125,73163.48081458635,66440.35014513788,67429.04583182148,148891490,90.80829683373548,4059.002349434263,83.87531166544211,0.04552350247234771,0.1620699623713563,0.0013224808349182261,-390.0092943970658,21.37518108112532,11.67429254169366,2.296863725725182
2025-08-04,70988.34375,71581.56110724233,67527.90916608635,68714.34388057103,78964731,90.97516945712783,4058.4673086064354,81.45054880218437,0.04208988927697166,0.25336811839882534,0.0008882831160989778,138.8609509396233,11.890959785676927,-2.0720107032003625,0.8272450782637737
2025-08-11,70790.609375,71581.5659043296,69999.6528456704,71186.08763966481,51403773,91.04010086709228,3810.8118836117123,83.13111569825958,-0.002785448491323672,0.2585575718251666,0.0009517680011507358,-9.856364624958132,14.53811986289874,4.410511881104654,1.3636861887010463
2025-08-18,70592.8671875,71087.21499693627,68615.4759497549,70296.25850183824,69695454,82.96518760725206,3676.904599968678,86.40512208995086,-0.002793339247194493,0.20417076176838778,0.0009123374310559659,288.61559832883404,11.287882963401529,13.74295474493897,1.5156023627165265
2025-08-25,68912.0859375,70988.34677636297,68813.21637374461,70889.4772126076,58841393,75.4467909889959,3526.727180233647,81.8905516470967,-0.023809505364553618,0.2149137721769765,0.0009873581867657609,21.935765972388708,4.380300112219928,10.67304779278004,0.8533577414326998
2025-09-01,68714.34375,69604.16978417267,66736.95256294965,67626.7785971223,56700518,67.7092170786527,3460.7761843325843,75.91250849777342,-0.002869484863356808,0.17052098531054571,0.0010223036623809483,9.338879634870864,-0.5033745255298925,7.423318029106923,0.31286302398426213
2025-09-08,74547.6484375,74745.38755802387,68813.21394230769,69010.95306283157,95075124,68.06082454550351,3717.8029467017127,80.44707631280008,0.08489209630994976,0.1458028944574653,0.001466932913210545,-1239.0579893613772,-1.8607757066726123,5.984529206379136,0.2845349193160552
2025-09-15,79392.265625,79590.00476727895,75042.00449486301,76327.30891967622,94602422,78.29901616163839,3850.258285009437,88.64720033827753,0.06498685456941922,0.1831905492928526,0.0015874871618882212,-1506.6282195142157,6.6474289089211,12.614297355590622,1.306609163529759
2025-09-22,82358.34375,85225.56099939976,80183.21342286916,80578.69166416567,113177260,78.89358930331251,4048.5619939484695,94.67225103100547,0.037359786896747904,0.25923590202241364,0.001475042774178432,-1322.9253774660738,1.6471904480086295,12.84851334865202,0.8997064646272026
2025-09-29,88735.4296875,89279.21226497214,82259.47353760446,82358.34309714485,101310544,80.15068300535611,4345.679667290391,94.31150043046853,0.07743096384815296,0.22471078796968025,0.0015276666964620003,-1199.3404189047224,3.713069838756894,11.934954800566032,1.005260639037405
2025-10-06,93749.2890625,93848.5997500662,89131.34209067134,89131.34209067134,35269748,77.7235650945562,4422.428706817973,94.54590553980164,0.05650346645818183,0.3200253154071606,0.001356000635053468,-1152.8938910453498,-6.699580646344415,3.2300169341782095,-0.24049269803931803
2025-10-13,97225.15625,98416.88441649642,89578.2338483146,90670.65133426967,131350523,80.12051941137449,4864.050892954358,97.83032267173348,0.03707619782783356,0.33100527939299473,0.0013434075127638162,-623.4934392558926,-4.1235069640241875,7.476781117942323,0.10342920083226916
2025-10-20,98118.953125,99211.37061930668,94841.70064207996,97225.15699329453,93621703,81.6733439928561,4814.612801381593,97.50266285431915,0.009193061852240447,0.32599158794385663,0.0013850230953976355,-566.0359991305422,-0.20669793566159456,11.075578897894772,0.5786186232718402
2025-10-27,106758.984375,107851.40188953489,98416.88699127907,100601.72202034884,152466621,90.18151878284816,5306.396397696923,96.7390917300851,0.08805670030939794,0.33797009828742075,0.0015310083457901109,-1012.8580832054213,2.748694030532164,0.2737613980969371,0.350857766657725
2025-11-03,97225.15625,111625.20492849847,95636.1853613381,106163.1174987232,156967139,78.7029307453456,6374.6587146432685,87.29976007704374,-0.08930234940706838,0.4288201378440132,0.0029297781637695162,-2815.8234499579467,-0.8847730685350399,5.377100264855827,0.519667550190744
2025-11-10,96529.9765625,105269.31600437242,96529.9765625,97920.32601916151,113643449,72.8838356862026,6611.126787366184,76.66795530734402,-0.0071502038599192685,0.3633272938014984,0.002772839716776179,-2315.080871584607,-6.464907536747958,-7.809527531239169,-0.6105078387225906
